#,Open_Time,Direction,Entry_Price,Stop_Loss,Take_Profit,RR,Balance_Before,Risk_Amount,Position_Size,Close_Time,Balance_After,Profit,Result
162,2024-05-14 08:00:00,Long,1.0784,1.07838,1.0784400000000003,2,21500,100,,2024-05-14 08:00:00,21700,200,Win
163,2024-05-15 08:05:00,Long,1.08274,1.08254,1.08314,2,21700,100,,2024-05-15 08:05:00,21600,-100,Lose
164,2024-05-16 10:30:00,Long,1.08687,1.08664,1.08733,2,21600,100,,2024-05-16 10:30:00,21500,-100,Lose
165,2024-05-20 11:05:00,Long,1.08665,1.08665,1.08665,2,21500,100,,2024-05-20 11:05:00,21700,200,Win
166,2024-05-21 08:15:00,Long,1.0861,1.08603,1.08624,2,21700,100,,2024-05-21 08:15:00,21700,0,BreakEven
167,2024-05-22 15:05:00,Long,1.08353,1.08344,1.0837100000000004,2,21700,100,,2024-05-22 15:05:00,21700,0,BreakEven
168,2024-05-23 11:45:00,Short,1.08481,1.08484,1.08475,2,21700,100,,2024-05-23 11:45:00,21900,200,Win
169,2024-05-24 16:55:00,Long,1.0847,1.08464,1.08482,2,21900,100,,2024-05-24 16:55:00,22100,200,Win
170,2024-05-27 11:55:00,Long,1.08573,1.08565,1.0858900000000002,2,22100,100,,2024-05-27 11:55:00,22300,200,Win
171,2024-05-30 12:10:00,Long,1.08139,1.08137,1.0814300000000003,2,22300,100,,2024-05-30 12:10:00,22500,200,Win
172,2024-05-31 12:00:00,Long,1.08506,1.08506,1.08506,2,22500,100,,2024-05-31 12:00:00,22700,200,Win
173,2024-06-04 11:45:00,Long,1.08627,1.08609,1.0866300000000002,2,22700,100,,2024-06-04 11:45:00,22600,-100,Lose
174,2024-06-05 09:10:00,Long,1.08727,1.08714,1.0875299999999999,2,22600,100,,2024-06-05 09:10:00,22500,-100,Lose
175,2024-06-06 14:25:00,Long,1.08747,1.08728,1.0878499999999998,2,22500,100,,2024-06-06 14:25:00,22400,-100,Lose
176,2024-06-07 18:10:00,Long,1.0801,1.08009,1.0801200000000002,2,22400,100,,2024-06-07 18:10:00,22600,200,Win
177,2024-06-11 14:40:00,Long,1.07242,1.07227,1.0727199999999997,2,22600,100,,2024-06-11 14:40:00,22800,200,Win
178,2024-06-14 17:40:00,Long,1.06989,1.06987,1.0699299999999998,2,22800,100,,2024-06-14 17:40:00,23000,200,Win
179,2024-06-17 14:50:00,Long,1.07146,1.07138,1.0716200000000002,2,23000,100,,2024-06-17 14:50:00,23200,200,Win
180,2024-06-18 15:00:00,Long,1.07413,1.0737,1.07499,2,23200,100,,2024-06-18 15:00:00,23100,-100,Lose
181,2024-06-19 09:55:00,Long,1.07371,1.07362,1.0738899999999998,2,23100,100,,2024-06-19 09:55:00,23300,200,Win
182,2024-06-21 09:15:00,Long,1.06843,1.06833,1.06863,2,23300,100,,2024-06-21 09:15:00,23500,200,Win
183,2024-06-24 12:40:00,Long,1.07274,1.07262,1.0729800000000003,2,23500,100,,2024-06-24 12:40:00,23700,200,Win
184,2024-06-25 20:00:00,Long,1.07137,1.07134,1.0714299999999999,2,23700,100,,2024-06-25 20:00:00,23900,200,Win
185,2024-06-26 12:45:00,Long,1.06786,1.06785,1.0678800000000002,2,23900,100,,2024-06-26 12:45:00,24100,200,Win
186,2024-06-27 17:35:00,Short,1.07055,1.07056,1.0705299999999998,2,24100,100,,2024-06-27 17:35:00,24300,200,Win
187,2024-06-28 14:25:00,Long,1.07008,1.07008,1.07008,2,24300,100,,2024-06-28 14:25:00,24500,200,Win
188,2024-07-02 09:25:00,Long,1.07154,1.07151,1.0715999999999999,2,24500,100,,2024-07-02 09:25:00,24700,200,Win
189,2024-07-03 09:20:00,Long,1.07591,1.07587,1.0759899999999996,2,24700,100,,2024-07-03 09:20:00,24900,200,Win
190,2024-07-04 11:20:00,Long,1.07962,1.07961,1.0796400000000002,2,24900,100,,2024-07-04 11:20:00,25100,200,Win
191,2024-07-05 09:45:00,Long,1.0827,1.08268,1.0827399999999998,2,25100,100,,2024-07-05 09:45:00,25300,200,Win
192,2024-07-09 11:10:00,Long,1.08199,1.0819,1.0821699999999999,2,25300,100,,2024-07-09 11:10:00,25200,-100,Lose
193,2024-07-10 10:05:00,Long,1.08159,1.08134,1.0820900000000002,2,25200,100,,2024-07-10 10:05:00,25100,-100,Lose
194,2024-07-11 12:25:00,Long,1.08478,1.08443,1.0854800000000002,2,25100,100,,2024-07-11 12:25:00,25000,-100,Lose
195,2024-07-12 18:45:00,Short,1.0905,1.09054,1.09042,2,25000,100,,2024-07-12 18:45:00,25200,200,Win
196,2024-07-15 10:45:00,Long,1.09095,1.09081,1.0912300000000001,2,25200,100,,2024-07-15 10:45:00,25100,-100,Lose
197,2024-07-16 09:35:00,Long,1.08951,1.08948,1.08957,2,25100,100,,2024-07-16 09:35:00,25300,200,Win
198,2024-07-17 17:10:00,Short,1.09306,1.09316,1.09286,2,25300,100,,2024-07-17 17:10:00,25500,200,Win
199,2024-07-18 12:50:00,Long,1.09259,1.09253,1.0927099999999998,2,25500,100,,2024-07-18 12:50:00,25700,200,Win
200,2024-07-19 08:00:00,Long,1.08837,1.08793,1.08925,2,25700,100,,2024-07-19 08:00:00,25600,-100,Lose
201,2024-07-22 14:05:00,Long,1.0878,1.08777,1.0878600000000005,2,25600,100,,2024-07-22 14:05:00,25800,200,Win
202,2024-07-23 09:00:00,Long,1.08737,1.08733,1.08745,2,25800,100,,2024-07-23 09:00:00,26000,200,Win
203,2024-07-25 10:40:00,Long,1.08486,1.08481,1.0849599999999997,2,26000,100,,2024-07-25 10:40:00,26200,200,Win
204,2024-07-26 12:25:00,Long,1.08538,1.08535,1.08544,2,26200,100,,2024-07-26 12:25:00,26400,200,Win
205,2024-07-30 10:55:00,Long,1.08332,1.08332,1.08332,2,26400,100,,2024-07-30 10:55:00,26600,200,Win
206,2024-07-31 08:00:00,Long,1.08129,1.08126,1.08135,2,26600,100,,2024-07-31 08:00:00,26800,200,Win
207,2024-08-01 13:10:00,Long,1.07888,1.07877,1.0791000000000002,2,26800,100,,2024-08-01 13:10:00,27000,200,Win
208,2024-08-02 10:45:00,Short,1.08224,1.08225,1.0822200000000004,2,27000,100,,2024-08-02 10:45:00,27200,200,Win
